Name,Bottle Size,Original Price,Discounted Price,Img link
Bakson's Rheum Aid Tablet,bottle of 75 tablets,₹215,₹191,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/d1470ed644c848e48b00e06bf264fbdf/haslab-digesto-syrup.jpg"
SBL Swertia Chirata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹129,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/csdvqk0vkfawibivigpn/sbl-chamomilla-dilution-30-ch.jpg"
Dr Willmar Schwabe India Aesculus Pentarkan Drop,bottle of 30 ml Drop,₹190,₹163,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/mtt7k5gwfd5zxmgqrwuj/sbl-hypericum-perforatum-dilution-30-ch.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 2 bottles,₹398,₹279,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/wiihcbdesoqpcr6nignl/dr.-reckeweg-natrum-mur-dilution-30-ch.jpg"
Dr Willmar Schwabe India Zauber Hair Drop,bottle of 30 ml Drop,₹195,₹185,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
ADEL 3 Apo-Hepat Drop,bottle of 20 ml Drop,₹295,₹280,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/apu8rf1tepwg4ed91bsy/sbl-homoeopathic-home-kit.png"
SBL Drops No. 3 (For UTI),bottle of 30 ml Drop,₹185,₹162,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/myc2sf7srxmmkuzezcjz/sbl-arnica-montana-dilution-1000-ch.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 4 bottles,₹796,₹557,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/z7myy1opevnigykkaeu5/dr.-reckeweg-ferrum-phosphoricum-biochemic-tablet-6x.jpg"
Dr. Reckeweg Chelidonium Maj Mother Tincture Q,bottle of 20 ml Mother Tincture,₹255,₹219,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr. Reckeweg R70 Neuralgia Drop,bottle of 22 ml Drop,₹270,₹237,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/t5tqpfyrdxsbg97enoex/dr.-reckeweg-r48-pulmonary-diseases-drop.jpg"
Dr Willmar Schwabe India Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹99,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/fxcvetrboeraqfqgtba1/dr-willmar-schwabe-india-lycopodium-clavatum-dilution-30-ch.jpg"
Dr. Reckeweg R17 Glandular Enlargement Drop,bottle of 22 ml Drop,₹270,₹249,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/rz1agjup3bgfsuglpwv2/sbl-bio-combination-2-tablet.jpg"
SBL AT-Tabs Ant- Traumatic Tablet,bottle of 25 gm Tablet,₹165,₹142,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/70d5e6cd9c9f4b4ab16f6d1fc08cba4c/bjain-guatteria-gaumeri-drop.jpg"
SBL Cantharis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹88,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/ftmylm5fnppc32qo9swy/dr-willmar-schwabe-india-baryta-iodata-dilution-30-ch.jpg"
Bakson's Biocombination 28 Tablet,bottle of 4500 biocombination tablets,₹720,₹619,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/kwmpcgni1pc0lxzquzaq/sbl-onosmodium-virginianum-dilution-30-ch.jpg"
Boericke and Tafel Hair Growth Oil,bottle of 200 ml Oil,₹180,₹178,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/lyajxrsrhoj0ng8hdlgv/dr-willmar-schwabe-india-calcarea-fluorica-biochemic-tablet-6x.jpg"
Bakson's Natrum Phosphoricum Biochemic Tablet 6X,bottle of 4500 biochemic tablets,₹655,₹563,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/gheemvpyg8eozgvhsatv/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹146,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/rm4xcuu8nonfzi4dqbvg/hapdco-reumacon-pain-killer-oil.jpg"
Bakson's Kali Muriaticum Biochemic Tablet 6X,bottle of 4500 biochemic tablets,₹720,₹619,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/px06kmbc1nhabclukf8z/adel-8-co-hypert-drop.jpg"
SBL Antimonium Tartaricum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/mgukkzgvvyzr4nestqku/np-s-rumarth-tablet.jpg"
Wheezal Jaborandi Hair Treatment Oil,bottle of 500 ml Oil,₹405,₹259,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/tbc22l3xvovjk25rsbwy/bjain-avena-sativa-mother-tincture-q.jpg"
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹282,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/wmewsw2nwqhty3ulvyek/sbl-phosphorus-dilution-30-ch.jpg"
Bakson's Calci Aid Tablet,bottle of 200 tablets,₹500,₹430,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/elfhdmmigxbn2brzpwet/adel-22-renelix-drop.jpg"
ADEL 5 Apo-Stom Drop,bottle of 20 ml Drop,₹295,₹275,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/utyxpxu6ixxjzflemill/hapdco-b.ve.-phos-children-tonic.jpg"
Dr. Reckeweg R55 All Kinds Of Injuries Drop,bottle of 22 ml Drop,₹270,₹240,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/sw3iigjslpc8blwadmo8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Hapdco Mensol Tonic,bottle of 450 ml Tonic,₹310,₹267,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/gtmqjymsscgnefwhkvff/sbl-antimonium-tartaricum-dilution-200-ch.jpg"
ADEL 55 Tinal Spondylitis Drop,bottle of 20 ml Drop,₹295,₹269,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/xjsbufenatlrajoxplch/bjain-terminalia-arjuna-mother-tincture-q.jpg"
SBL Caladium Seguinum Dilution 1000 CH,bottle of 30 ml Dilution,₹140,₹133,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/mbqi9xsmbtlpn6fenx6r/sbl-hydrastis-canadensis-dilution-30-ch.jpg"
SBL Caladium Seguinum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹101,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/42ea5450-ef22-4a3d-9e49-2c110a710708/bjain-omeo-allergy-tablet.jpeg"
Dr. Reckeweg Arnica Mont Dilution 30 CH,bottle of 11 ml Dilution,₹135,₹116,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/yitdmjcttk0r1lzhs6wp/boericke-and-tafel-anti-dandruff-oil.jpg"
Dr Willmar Schwabe India Ginseng Mother Tincture Q,bottle of 30 ml Mother Tincture,₹320,₹264,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/cb884hx80tcyyd90xaht/dr.-reckeweg-acid-fluor-dilution-30-ch.jpg"
SBL Hepar Sulphur Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹88,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/zijbcjrqiespmgssvjsn/dr-willmar-schwabe-india-bryonia-alba-dilution-200-ch.jpg"
Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,bottle of 200 ml Liquid,₹185,₹175,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/prgnisrvwtxwq6spyqp3/bjain-lycopodium-clavatum-dilution-200-ch.jpg"
Dr Willmar Schwabe India Terminalia Arjuna Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹92,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/sfsm0bhtq5otfjyabaft/bakson-s-kof-aid-cough-syrup.jpg"
SBL Sabal Serrulata Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹86,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/5816b3b89d7740cb8fc418590de1ad1b/sbl-relaxhed-drop.jpg"
SBL Abroma Augusta Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹92,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/mfhdujgpiurjphjd2jun/dr.-reckeweg-stellaria-media-mother-tincture-q.jpg"
Bakson B22 Sinus Drop,bottle of 30 ml Drop,₹175,₹151,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/142e3072-66bb-4393-8ca2-b45d01651baf/bjain-omeo-mouth-ulcer-tablet.jpeg"
SBL Hydrangea Arborescens Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹129,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/ts7aqzqs3evr9rgnct4l/allen-osteofit-tablet.jpg"
SBL Ocimum Sanctum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹76,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/olvcy3bqjgddi4bpmbkx/dr-willmar-schwabe-india-tussikind-tablet.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),box of 1 Bottle,₹199,₹139,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/gpmojbfoikpzgsaykbey/dr.-reckeweg-rauwolfia-serp-mother-tincture-q.jpg"
Dr. Reckeweg Urtica Urens Mother Tincture Q,bottle of 20 ml Mother Tincture,₹255,₹224,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/hbxdrngazui8y4qro8kq/bjain-terminalia-arjuna-mother-tincture-q.jpg"
Wheezal Sarsa Syrup,bottle of 450 ml Syrup,₹340,₹292,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/w2p0bbkxwz4c8hj4tiec/dr-willmar-schwabe-india-nux-vomica-dilution-200-ch.jpg"
SBL Gelsemium Sempervirens Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹91,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/egomhvxlr6rugwcswjju/dr-willmar-schwabe-india-bryonia-alba-dilution-30-ch.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 3 bottles,₹597,₹418,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/yu6sieezauoxipxyv2zj/sbl-baryta-carbonicum-dilution-200-ch.jpg"
Dr. Reckeweg Crataegus Mother Tincture Q,bottle of 20 ml Mother Tincture,₹255,₹240,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/i6vpnss1mvrivh2gmsfu/bjain-baryta-carbonica-dilution-30-ch.jpg"
Dr. Reckeweg R32 Excessive Perspiration Drop,bottle of 22 ml Drop,₹270,₹238,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/gckyuvln0kph0eelbejb/dr.-reckeweg-cantharis-dilution-30-ch.jpg"
SBL Hekla Lava Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹175,₹157,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/spcswmlrzm1xvhncigay/adel-16-gastul-drop.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 2 bottles,₹398,₹279,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/asoxabj7dvuvkck5nxzv/dr.-reckeweg-allium-cepa-dilution-30-ch.jpg"
German's Thuja Anti Warts Cream,tube of 25 gm Cream,₹65,₹57,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/n3okzw8mairngdiebseh/bjain-andrographis-paniculata-mother-tincture-q.jpg"
Dr. Reckeweg R88 Anti Viral Drop,bottle of 30 ml Drop,₹310,₹267,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/cl3mrgzyiuyn8zw3ralp/dr.-reckeweg-kali-phosphoricum-biochemic-tablet-12x.jpg"
ADEL 2 Apo-Ham Drop,bottle of 20 ml Drop,₹295,₹254,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/oi7kqs1ihustm5l6gcgt/sbl-silk-n-stay-anti-acne-berberis-soap.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 4 bottles,₹796,₹557,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/xyntv6s2kryha5t34ici/sbl-rumex-crispus-dilution-30-ch.jpg"
Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,bottle of 20 gm Tablet,₹175,₹159,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/udpudndntjvwpq2a2edd/bjain-phytolacca-berry-mother-tincture-q.jpg"
SBL Pothos Foetidus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹365,₹314,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/obtizlivhccyuvni7dnk/dr-willmar-schwabe-germany-calcarea-phosphorica-biochemic-tablet-6x.png"
Dr. Reckeweg Caladium Seg Dilution 200 CH,bottle of 11 ml Dilution,₹160,₹138,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/wgvvnv67vk806i4acapo/repl-dr.-advice-no.49-gray-hair-drop.jpg"
SBL Cantharis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹294,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/zqmhxcddx5hjcxehqo51/sbl-antimonium-crudum-dilution-200-ch.jpg"
SBL Nuphar Lutea Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹278,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/zw5lkxi7ms00xwavslwh/dr-willmar-schwabe-india-caladium-seguinum-dilution-1000-ch.jpg"
ADEL 79 Ferrodona Tonic,bottle of 250 ml Tonic,₹860,₹774,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr Willmar Schwabe India Tribulus Terrestris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹95,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/wf2xeetj4x7r48fnw6pa/bakson-s-kof-aid-cough-syrup.jpg"
SBL Kalmegh Syrup,bottle of 115 ml Syrup,₹115,₹100,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/pz0hm12buhp0ddjcooqd/sbl-euphrasia-officinalis-dilution-30-ch.jpg"
SBL Thuja Occidentalis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹75,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/inkmwcwamrpqdhzmcszc/bakson-s-calendula-ointment.jpg"
SBL Acidum Phosphoricum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹91,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop,bottle of 22 ml Drop,₹270,₹237,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/e6uz8desye1fn3tgjobn/allen-a65-bronchitis-drop.jpg"
SBL Thyroidinum Trituration Tablet 6X,bottle of 25 gm Trituration Tablet,₹175,₹155,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/g2hmnalf649kl7bkneyu/sbl-cochlearia-armoracia-mother-tincture-q.jpg"
SBL Arnica Ointment,tube of 25 gm Ointment,₹75,₹66,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/204872d4822f435f89676ffb2d10c246/sbl-bacopa-munnieri-mother-tincture-q.jpg"
ADEL 66 Toxex Drop,bottle of 20 ml Drop,₹295,₹254,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/70d5e6cd9c9f4b4ab16f6d1fc08cba4c/bjain-guatteria-gaumeri-drop.jpg"
Dr. Reckeweg Jaborandi Mother Tincture Q,bottle of 20 ml Mother Tincture,₹255,₹219,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/fahyebfvxxktow9ifum8/adel-acid-phos-mother-tincture-q.jpg"
SBL Sepia Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹92,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/jwi3ndapw3fo2uoxxwy6/dr.-reckeweg-baryta-carb-dilution-200-ch.jpg"
Dr. Reckeweg R72 Pancreas Drop,bottle of 22 ml Drop,₹270,₹237,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/o9cetzga5gchye05klwh/dr.-reckeweg-sepia-dilution-30-ch.jpg"
Dr Willmar Schwabe India Arsenicum Album Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹59,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/gheemvpyg8eozgvhsatv/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr Willmar Schwabe India Nuphar Lutea Mother Tincture Q,bottle of 30 ml Mother Tincture,₹275,₹237,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cr4m78aflqxn6smmeur7/dr.-reckeweg-conium-mac-dilution-200-ch.jpg"
Dr Willmar Schwabe India Berberis Pentarkan Tablet,bottle of 20 gm Tablet,₹185,₹159,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/spjdcvva2k4xwxfkfp3h/sbl-petroleum-dilution-200-ch.jpg"
SBL Robinia Pseudacacia Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹88,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/v1jznpxeiyejrpuhfnmq/sbl-coffea-cruda-dilution-200-ch.jpg"
SBL Alfalfa Tonic with Ginseng Sugar Free,bottle of 180 ml Tonic,₹195,₹168,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/tbc22l3xvovjk25rsbwy/bjain-avena-sativa-mother-tincture-q.jpg"
SBL Tonsilat Tablet,bottle of 25 gm Tablet,₹165,₹142,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/lb7goayehuzmrueuc7v6/sbl-graphites-dilution-200-ch.jpg"
Dr. Reckeweg R57 Pulmonary Tonic,bottle of 22 ml Tonic,₹270,₹232,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/ifna7pv0zypq1vqj5a8t/dr-willmar-schwabe-india-fucus-vesiculosus-mother-tincture-q.jpg"
SBL Aesculus Hippocastanum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹87,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/dctna659ga2afn0khog8/dr-willmar-schwabe-india-kali-phosphoricum-biochemic-tablet-6x.png"
Bakson's AC#4 Tablet,bottle of 75 tablets,₹215,₹185,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/sw3iigjslpc8blwadmo8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr. Reckeweg Thyroidinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹240,₹212,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/rdzqgxvby6ym0mgbo3lf/sbl-arnica-montana-hair-oil-with-tjc.png"
SBL Orthomuv Massage Oil,bottle of 60 ml Oil,₹100,₹86,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/wwddcw9szdgwd6vs9pgq/german-s-prosta-care-and-cure-drop.jpg"
SBL Silk N Stay Antiseptic Calendula Soap,box of 75 gm Soap,₹55,₹47,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/nmmqpffxdlf9bxqzlfhl/sbl-jaborandi-plus-hair-oil.png"
Dr. Reckeweg Hydrangea Mother Tincture Q,bottle of 20 ml Mother Tincture,₹335,₹294,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/42ea5450-ef22-4a3d-9e49-2c110a710708/bjain-omeo-allergy-tablet.jpeg"
Medisynth Wartex Forte Drop,bottle of 30 ml Drop,₹150,₹132,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/e4yvzzngmu5y79dqxoei/dr-willmar-schwabe-india-justicia-adhatoda-mother-tincture-q.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),box of 1 Bottle,₹199,₹139,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/qkyaaoctkywoh2prrbis/dr.-reckeweg-r4-diarrhoea-drop.jpg"
Dr Willmar Schwabe India Damiana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹126,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/ikko9yz6rn6dbcvljxzj/sbl-chimaphila-umbellata-mother-tincture-q.jpg"
Dr Willmar Schwabe India Lycopodium Clavatum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹99,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/prgnisrvwtxwq6spyqp3/bjain-lycopodium-clavatum-dilution-200-ch.jpg"
Dr. Reckeweg Biochemic Combination 25 (BC 25) Tablet,bottle of 20 gm Biocombination Tablet,₹185,₹159,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/kuq6lyp6dt4zssefhjlh/sbl-stobal-cough-syrup-sugar-free.png"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 3 bottles,₹597,₹418,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/cynilqpvqht5ryndgyir/dr-willmar-schwabe-india-ocimum-sanctum-mother-tincture-q.jpg"
Dr. Reckeweg Agnus Castus Dilution 30 CH,bottle of 11 ml Dilution,₹135,₹116,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/idkjldnax6cbxzldriih/sbl-cineraria-maritima-euphrasia-eye-drop.jpg"
Dr. Reckeweg Magnesia Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹185,₹159,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/142e3072-66bb-4393-8ca2-b45d01651baf/bjain-omeo-mouth-ulcer-tablet.jpeg"
SBL Lecithinum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹175,₹158,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/aefw8ywpsriq843laucd/sbl-astacus-fluviatilis-dilution-6-ch.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 2 bottles,₹398,₹279,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/pj1ltr7vydefyu5egbxu/bakson-s-kof-aid-plus-cough-syrup-sugar-free.jpg"
SBL Azadirachta Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹90,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/lnpssxoklzf0vlfjxoo6/sbl-dysmin-tablet.jpg"
Dr Willmar Schwabe India Bacopa Monnieri Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹108,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/hbxdrngazui8y4qro8kq/bjain-terminalia-arjuna-mother-tincture-q.jpg"
SBL Ignatia Amara Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹101,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/a9e2mm8nhxvcz8oonfcx/bjain-rauwolfia-serpentina-mother-tincture-q.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 4 bottles,₹796,₹557,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/e77k3ggcxh6pnsrd7tds/sbl-kalmegh-paediatric-drop.jpg"
Dr. Reckeweg Arsenicum Album 200 CH Dilution,bottle of 11 ml Dilution,₹160,₹141,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/fhswvg3ceoahvdn5rhny/sbl-sulphur-mother-tincture-q.jpg"
SBL Ruta Graveolens Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹88,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/i6vpnss1mvrivh2gmsfu/bjain-baryta-carbonica-dilution-30-ch.jpg"
Dr. Reckeweg Yohimbinum Mother Tincture Q,bottle of 20 ml Mother Tincture,₹365,₹317,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/tsloeoyaccr76irlihvi/dr-willmar-schwabe-india-angioton-drop.jpg"
Bakson's AC#9 Tablet,bottle of 75 tablets,₹215,₹185,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/ppwcxpfbwhcit2sx38de/sbl-glowing-beauty-fairness-cream.jpg"
ADEL 23 Ricura Drop,bottle of 20 ml Drop,₹295,₹254,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/tjjzviidvc1kwgayqwkx/dr.-reckeweg-china-dilution-200-ch.jpg"
SBL Acid Nitricum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/n3okzw8mairngdiebseh/bjain-andrographis-paniculata-mother-tincture-q.jpg"
Dr. Reckeweg R54 Memory Drop,bottle of 22 ml Drop,₹270,₹258,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/q8nzgonqz0ysj5xzjj3u/dr.-reckeweg-gelsemium-sempervirens-dilution-200-ch.jpg"
SBL Petroleum Cream,tube of 25 gm Cream,₹75,₹65,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/ikueou51icxn4kbryh6z/wheezal-calendula-nectar-prickly-heat-powder.jpg"
