Name,Bottle Size,Original Price,Discounted Price,Img link
Dr. Reckeweg Berberis Vul Mother Tincture Q,bottle of 20 ml Mother Tincture,₹255,₹224,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/g7jhwi33i6tbi3ruk2bs/sbl-arnica-montana-mother-tincture-q.jpg"
Dr. Reckeweg R73 Joint Pain Drop,bottle of 22 ml Drop,₹270,₹212,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/kmx60jfxkonfjpaa8ym5/sbl-homeocal-tablet.jpg"
Bakson's Y-Lax Tablet,bottle of 200 tablets,₹500,₹364,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/cropped/lxr4fp6hxvmshswk2hfw/dr-willmar-schwabe-india-cydonia-vulgaris-dilution-30-ch.jpg"
Dr Willmar Schwabe India Damiaplant Drop,bottle of 30 ml Drop,₹425,₹361,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Arnica Montana Hair Oil with Tjc,bottle of 200 ml Oil,₹160,₹148,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/igrbn8eqn0uozcj7rgek/sbl-bio-combination-20-tablet.jpg"
Bakson's Throat Aid Tablet,bottle of 75 tablets,₹215,₹185,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/of0cjmyrbfelgwgxgi3u/sbl-damiana-mother-tincture-q.jpg"
SBL Scalptone Tablet,bottle of 25 gm Tablet,₹165,₹140,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/upd5ruteegpm1nz72ndk/bakson-s-tonsil-aid-tablet.jpg"
Bakson's Aller Aid Tablet,bottle of 200 tablets,₹500,₹375,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Nux Vomica Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,"https://onemg.gumlet.io/images/h_150,f_auto,q_auto,c_fit,w_150/rrqv62kqczyajr23t1ox/allen-a87-creatinine-blood-urea-drop.jpg"
Bakson's Aller Aid Tablet,bottle of 75 tablets,₹215,₹185,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/cropped/eomjwec1h9xkanenyrfl/adel-39-apo-sciatica-drop.jpg"
SBL Clearstone Drop,bottle of 30 ml Drop,₹165,₹140,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/a1jarhguujtrsivcxnwo/sbl-rhus-toxicodendron-dilution-30-ch.jpg"
Dr. Reckeweg R13 Hemorrhoidal Drop,bottle of 22 ml Drop,₹270,₹238,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Bhargava Spondin Drop,bottle of 30 ml Drop,₹170,₹153,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/dy6aawqxtilfe0rz4yba/bakson-s-calcarea-fluorica-biochemic-tablet-6x.jpg"
SBL Berberis Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹89,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/krbmif6im5qoroquk3vp/medisynth-wartex-cream.jpg"
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,bottle of 22 ml Drop,₹270,₹237,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/hq2wwmfustipnxifip6t/bakson-s-kali-phosphoricum-biochemic-tablet-6x.jpg"
SBL Kali Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹95,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr Willmar Schwabe Germany Cineraria Maritima Schwabe Eye Drop Alcohol Free,bottle of 10 ml Eye Drop,₹200,₹188,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/cropped/htwccgstsaovkjtwzpbw/dr.-reckeweg-r6-influenza-drop.jpg"
Bakson's Rheum Aid Tablet,bottle of 200 tablets,₹500,₹430,"https://onemg.gumlet.io/images/f_auto,q_auto,c_fit,w_150,h_150/qlprako05kgvil7x1gia/bakson-s-gastro-aid-tablet.jpg"
SBL Calcarea Fluorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹97,"https://onemg.gumlet.io/images/f_auto,q_auto,c_fit,w_150,h_150/cropped/defwewzqk4iqyyjjlzly/sbl-euphrasia-10-eye-drop.jpg"
SBL Arnica Montana Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹93,"https://onemg.gumlet.io/images/f_auto,q_auto,c_fit,w_150,h_150/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Berberis Aquifolium Gel,tube of 25 gm Gel,₹75,₹68,"https://onemg.gumlet.io/images/f_auto,q_auto,c_fit,w_150,h_150/izydpi8bpyohcbqhh392/dr-willmar-schwabe-india-jaborandi-mother-tincture-q.jpg"
SBL Syzygium Jambolanum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹93,"https://onemg.gumlet.io/images/f_auto,q_auto,c_fit,w_150,h_150/cropped/kbdiktjqofi34upflfwm/new-life-nl-3-blood-cholestrol-drop.jpg"
